OBJECTID,RouteID,FromARMeasure,ToARMeasure,NHS_TYPE,GlobalID,Shape_Length
1095,ED_CO_LAKE TAHOE BLVD_P,1.5864082,3.8222579,M21PA,{83E31787-D6E4-4D00-9B5F-2AB6FE41A01B},4632.3791350241
1096,ED_CO_SILVA VALLEY PKWY_P,0,0.2745207,M21PA,{B8A0B439-09A1-43B7-ADB4-E4E9D4ED359E},567.624975830422
1097,ED_PLCR_RAY LAWYER DR_P,0,0.905671,M21PA,{CDD16BDD-1EA2-4192-A767-FD832F279896},1869.06834719086
1098,FRE_CLO_3RD ST_P,0.4608415,1.018268,M21PA,{38DEF984-FAE8-4C7D-BC4A-3C0FAD923970},1123.83763777838
1099,FRE_CLO_TOLLHOUSE RD_P,0.2525139,1.9273945,M21PA,{8BD40B8F-8781-4755-912D-A8EF436A0303},3369.29569405681
1100,FRE_CO_E ASHLAN AVE_P,4.5095683,6.2676494,M21PA,{A1330E50-BA7D-471D-94BC-B8A01EFF0F67},3535.31498052372
1101,FRE_CO_N GRANTLAND AVE_P,3.0115763,4.6411337,M21PA,{104FEA1B-BA86-4052-9506-EBAE52EAC570},3279.78248151706
1102,FRE_CO_S CHESTNUT AVE_P,11.8907418,17.5291227,M21PA,{55691C31-8877-4D88-9341-0205B4BA2F42},11336.6794248866
1103,FRE_CO_S CLOVIS AVE_P,19.6447182,22.1149176,M21PA,{AB694748-221B-44A2-BF1C-95CFB23F3367},4968.28318117669
1104,FRE_CO_W HERNDON AVE_P,17.558752,24.8243955,M21PA,{EC6AC508-A776-4FD5-A8A8-0694F2AAACAE},14619.0534371024
1105,FRE_CO_W SHIELDS AVE_P,33.4438011,34.6030199,M21PA,{555AD893-A9EE-422F-95AA-BB9188333FA4},2330.55182270132
1106,FRE_FRE_BROADWAY PLZ_P,0.1402973,0.2301801,IC,{E4BEC81A-7079-4FBD-AAE9-50ED8D7B6610},169.591432889747
1107,FRE_FRE_DIVISADERO ST_P,0.3550463,0.6706746,M21PA,{0FC6F89B-EB65-4D2E-9516-3AF473441740},636.510497443773
1108,FRE_FRE_E CLINTON WAY_P,0,0.3504636,IC,{DBE11F3D-1C03-4126-9D23-C3E99D583C1C},712.167065184559
1109,FRE_FRE_E MCKINLEY AVE_P,1.9944536,6.2564739,M21PA,{7B262AC3-4BCD-4761-BBD9-DA53E97C5479},8576.14371392936
1110,FRE_FRE_E SHAW AVE_P,0,6.0064079,M21PA,{81F3B9F0-5E85-4718-989E-E683CF5356F8},12074.9743678699
1111,FRE_FRE_E TUOLUMNE ST_P,0.696709,1.6661074,M21PA,{D682934D-1631-4B3A-BDDA-8835DF9F7692},1942.50623525934
